2022-07-24 19:01:47.126,Mode 3 access,100.00," gX: -0.07"," gY: -0.75"," gZ: -0.08",,,
2022-07-24 19:01:47.138,Mode 3 access,100.00," gX: -0.07"," gY: -0.75"," gZ: -0.08",,,
2022-07-24 19:01:47.155,Mode 3 access,100.00," gX: -0.10"," gY: -0.70"," gZ: -0.09",,,
2022-07-24 19:01:47.171,Mode 3 access,100.00," gX: -0.09"," gY: -0.68"," gZ: -0.10",,,
2022-07-24 19:01:47.183,Mode 3 access,100.00," gX: -0.07"," gY: -0.58"," gZ: -0.10",,,
2022-07-24 19:01:47.200,Mode 3 access,100.00," gX: -0.07"," gY: -0.58"," gZ: -0.10",,,
2022-07-24 19:01:47.216,Mode 3 access,100.00," gX: -0.05"," gY: -0.59"," gZ: -0.08",,,
2022-07-24 19:01:47.228,Mode 3 access,100.00," gX: -0.05"," gY: -0.52"," gZ: -0.05",,,
2022-07-24 19:01:47.244,Mode 3 access,100.00," gX: -0.07"," gY: -0.44"," gZ: -0.04",,,
2022-07-24 19:01:47.261,Mode 3 access,100.00," gX: -0.07"," gY: -0.44"," gZ: -0.04",,,
2022-07-24 19:01:47.273,Mode 3 access,100.00," gX: -0.08"," gY: -0.41"," gZ: -0.04",,,
2022-07-24 19:01:47.290,Mode 3 access,100.00," gX: -0.09"," gY: -0.34"," gZ: -0.06",,,
2022-07-24 19:01:47.306,Mode 3 access,100.00," gX: -0.10"," gY: -0.37"," gZ: -0.07",,,
2022-07-24 19:01:47.318,Mode 3 access,100.00," gX: -0.10"," gY: -0.37"," gZ: -0.07",,,
2022-07-24 19:01:47.335,Mode 3 access,100.00," gX: -0.21"," gY: -0.38"," gZ: -0.12",,,
2022-07-24 19:01:47.351,Mode 3 access,100.00," gX: -0.46"," gY: 0.08"," gZ: -0.17",," Gain*gyroY: 7",
2022-07-24 19:01:47.368,Mode 3 access,100.00," gX: -0.40"," gY: -0.17"," gZ: -0.11",,,
2022-07-24 19:01:47.380,Mode 3 access,100.00," gX: -0.40"," gY: -0.17"," gZ: -0.11",,,
2022-07-24 19:01:47.396,Mode 3 access,100.00," gX: -0.22"," gY: -0.16"," gZ: -0.07",,,
2022-07-24 19:01:47.413,Mode 3 access,100.00," gX: -0.06"," gY: -0.14"," gZ: -0.04",,,
2022-07-24 19:01:47.425,Mode 3 access,100.00," gX: -0.04"," gY: -0.17"," gZ: -0.02",,,
